clean_text,suspicious_score,is_vague,compensation,is_scam
copier technician east coast copier office equipment technology company look new team member desire candidate possess outgoing friendly personality strong organizational skill able work accurately efficiently position require driver license vehicle call dispatch individual office personnel look great job strong commitment good people skill experience copi industry prefer consider motivate technical talent basic networking skill need hour flexible start,0,0,Starting at $25/hour Negotiable with experience,0
matchmaking search assistant want high profile client seek search assistant support matchmaking service responsible search review profile detail female candidate high network client role involve assess profile identify ideal match male client ideal candidate understand american culture eye detail understand fashion trend beauty passion connect people interested help find love skilled profile evaluation love hear candidate possess excellent work ethic attention detail organize ability work independently follow diretion thrive fast pace environment excited connect people love hear friday hour week need matchmaking experience include person email phone insta time avaiable approx total hour week work,0,0,up to $16.50/hour,0
support technician electro mechanical scantech lead global supplier line measurement control america seek time technician support customer usa canada hand position person strong electrical electronic skill good mechanical aptitude technical school graduate prior customer electro mechanical service experience technician provide customer support assist manufacturing testing gaithersburg workshop position duty include travel customer site perform equipment commissioning startup technical position offer competitive salary medical dental vision insurance profit sharing plan pay personal vacation candidate reply resume,1,0,competitive,0
immediate hire hvac master license holder hvac king llc fast grow company seek hvac master license holder join dedicated team offer sign bonuscompetitive compensationopportunitie growth thrive look reliable licensed ready grow expertise play vital role continued wait today apply silver spring marylandcompany hvac king llccontact,1,0,Negotiable Competitive compensation,1
computer expert need help access information source good computer,0,1,Willing to pay solid money for a computer expert to help me with a project,1
entry level tech position job description currently seek motivated knowledgeable entry level tech focus support windows base network small medium sized business industry extremely customer service drive organization need individual understand provide high level service daily basis engineer position include perform remote network support office travel require time time person choose position expose variety local wide area network technology look individual strong organizational skill work tough situation solve challenge problem job candidate energetic focused strong desire learn new technology management maintenance provide environment fun supportive require turn follow love deal people problem explain complex technical detail layman term work trust complete task able follow instruction require problem create update detailed documentation enter note time management system ability problem issue completion regularly communicate client afraid complacent point area process use improvement client network withinour company team player company work help want employee havethe good interest team heart number client month year experience working training mentor field ideal position someonestarte experience installing update troubleshoot window operating system desktop experience network base antivirus ability troubleshoot clean virus spyware adware malware infection individual computer experience support window server operate system knowledge support exchange candidate require know experience installing support network base printer experience installing configure upgrade wide range network device switch firewall cisco experience strong understanding basic network fundamental internet work network communicationworks public dns work etc experience support virtualization technology specifically vmware base product huge plus experience w citrix microsoft base virtualization technology flexible time working schedule hour possibility work remotely home provisional month tech duty emergency service provide trainingcommunication skill seek individual loves work people able articulate technical problem layman term customer technically adverse candidate demonstrate ability write clearly verification company perform thorough investigation candidate extend offer addition check professional reference check criminal history credit report drive record public record relevant respond email subject amazing attach resume pdf format long attach cover letter long page describe career objective provide example leadership current position briefly state want leave current position resume cover letter body email state short sentence want contact directly e mail feel experience qualification meet need sure provide valid e mail address equal opportunity employer,2,0,TBD,0
information technology intern entry level excellent opportunity grow atmosphere great coworker excellent opportunity professional development advancement time time work position provide vacation holiday health dental disability life insurance plan discretionary profit device manufacturer seek entry level personnel integral team position responsible provide support information technology department position require candidate learn assist following function assist network setup configuration ensure operation need metensure licensing compliancesetup train new employee systemsmonitor system remote accessprovide daily system user supportconfigure install desktop laptop device new hiresperform hardware replacement necessaryinstall configure test maintain monitor troubleshoot workstation related hardware softwaremaintain security privacy information system communication line equipmentmaintain datum backup recoveryworke knowledge infrastructure networking firewall domainsexcellent write verbal communication skillsmust focused self starter motivated work minimal supervisionability thrive dynamic environmentif individual disability require reasonable accommodation complete application process limit ability unable access use online application process need alternative method apply contact aadco main office employment opportunity policyit policy aadco medical inc discriminate employee applicant employment race color religion sex national origin age marital status genetic information disability protect veteran policy aadco medical inc affirmative action employ advance employment person regardless race color religion sex national origin age marital status genetic information disability protect veteran status base employment decision valid job requirement policy shall apply employment action include limit recruitment hiring upgrading promotion transfer demotion layoff recall termination rate pay form compensation selection training include apprenticeship level applicant aadco medical inc subject harassment basis race color religion sex national origin age marital status genetic information disability protect veteran additionally retaliation include intimidation threat coercion employee applicant object discrimination engage engage file complaint assist review investigation hearing seek obtain legal right federal state local eeo law employee company protect federal law discrimination basis follow link find,1,0,DoE,0
time archeological work seek female male assistant private archeological work degree art science plus applicant need fit able rugged work wet dirty digging surface survey experience outdoors important key work smoothly photography catalog inquiry welcome rugged work fine tune sensibility key encourage woman,0,0,healthy wage,1
laboratory analyst rotational day shift west deptford nj ieh laboratory leader food safety accept application laboratory analyst rotational day shift position facility west deptford candidate possess bs ba biological science related field proficiency datum entry computer ability multitask work fast pace strong write verbal communication strong attention strong understanding aseptic technique laboratorylaboratory analyst duty include analysis food sample pathogen pcr immunoassay microbe enumeration datum entry laboratory reporting quality control medium preparation duty time position eligible standard benefit brief waiting period schedule position rotate shift basis week wednesday thursday second week monday tuesday friday saturday sunday exposure food allergen laboratory environment applicant moderate severe food allergy discourage apply position access company job post navigate url list ask complete optional self identification survey submit cover letter resume reference combine single opportunity vet right poster site default,0,0,$19.25 - $21.25 hourly,0
summer field technician garden state laboratory inc contribute protection public health safety leader environmental testing year certified laboratory locate union ocean county equip microbiology chemistry testing drinking water private well recreational bathing water wastewater solid hazardous waste new join garden state laboratory care employee sustainability growth family own business stand garden state laboratory inc great place work employee join team stay commit provide atmosphere development training employee interested environmental service career ground floor entry level role rolethe summer schedule mid labor day weekend primarily weekend position include holiday work available day plus mile vehicle expense dothe primary responsibility summer field technician collection water sample property pool lake beach new jersey employee train proper compliant collection technique transport protocol certify prior experience require interested candidate valid driver license access reliable vehicle schedule day interest science relate career website mascsr default mdf recruitment,0,0,"$100.00 per day, plus $.58 per mile",0
