url,title,description,compensation,employment_type,location,company,post_date,city,category,is_scam
https://nh.craigslist.org/tch/d/hooksett-copier-technician/7844573461.html,Copier Technician,"East Coast Copier, an office equipment and technology company is looking for a new team member. The desired candidate will possess an outgoing and friendly personality, must have strong organizational skills and able to work accurately and efficiently. This position requires a driver's license and a vehicle as calls will be dispatched to the individual from our office personnel. We are looking for someone who will do a great job with strong commitment and good people skills. Experience in the copier industry is preferred but will consider someone motivated with technical talent. Basic networking skills needed. Hours will be flexible to start.",Starting at $25/hour Negotiable with experience,part-time,HOOKSETT,East Coast Copier,2025-04-23T11:59:31-0400,newyork,computer/technical support,
https://newyork.craigslist.org/que/tch/d/astoria-matchmaking-search-assistant/7842645549.html,Matchmaking Search Assistant wanted for High-Profile Clients,"We are seeking Search Assistants to support our matchmaking service whereby you would be responsible for searching for & reviewing profiles and details of female candidates for our high network clients. Your role will involve assessing these profiles to identify ideal matches for our male clients. The ideal candidate should understand American culture, an eye for detail, understand fashion trends/beauty, and a passion for connecting people. If you're interested in helping others find love and are skilled in profile evaluation, we would love to hear from you!Ideal candidates should possess excellent work ethic, attention to detail, organized, and the ability to work independently and follow diretion. If you thrive in a fast-paced environment and are excited about connecting people, we would love to hear from you!Monday through Friday, 20-35 hours per week!  You do not need matchmaking experience ;)HOW TO APPLY!1.) Include you resume2.) your full name3.) your person email address4.) your phone number5.) insta handle6.) time avaiable for an interview7.) Approx total hours a week you can work",up to $16.50/hour,part-time,Matchmaking Search Assistant wanted for High-Profile Clients,Matchmaking services,2025-04-15T14:58:03-0400,newyork,computer/technical support,
https://washingtondc.craigslist.org/mld/tch/d/washington-grove-support-technician/7849366846.html,Support Technician (electro-mechanical),"Scantech is a leading global supplier of on-line measurement and controls systems.Scantech Americas seeks a full-time Technician to support customers in the USA and Canada.  This is a hands-on position for a person who has strong electrical/electronics skills and good mechanical aptitude.  A technical school graduate and/or prior customer electro-mechanical service experience is preferred.The Technician will provide customer support and assist with manufacturing and testing in the Gaithersburg workshop. Position duties includes travel to customer sites to perform equipment commissioning, startup, and technical service.The position offers a competitive salary, medical/dental/vision insurance, 401k profit sharing plan, and paid personal vacation time.website: www.scantech.comInterested candidates please reply with a resume to: employment-americas@scantech.com",competitive,full-time,"Gaithersburg, MD",Scantech,2025-05-11T11:52:01-0400,newyork,computer/technical support,
https://washingtondc.craigslist.org/mld/tch/d/silver-spring-immediate-hire-hvac/7848150514.html,IMMEDIATE HIRE – HVAC MASTER LICENSE HOLDER,"HVAC KINGS LLC is a fast-growing company seeking an HVAC Master License Holder to join our dedicated team immediately.What We Offer:Sign-on bonusCompetitive compensationOpportunities for growth in a thriving companyWe're looking for someone reliable, licensed, and ready to grow with us. Your expertise will play a vital role in our continued success.Don't wait — call us today or apply online!Location: Silver Spring, MarylandCompany: HVAC KINGS LLCContact: 866-945-5550 | www.hvackingsllc.com",Negotiable Competitive compensation,contract,"Silver Spring, Baltimore, Bowie, Clinton, Waldorf, Laurel",HVAC KINGS LLC,2025-05-06T16:29:12-0400,newyork,computer/technical support,
https://newyork.craigslist.org/mnh/tch/d/new-york-computer-expert/7842738006.html,Computer expert,I need someone to help me access information from another source. I am not good with computers.,Willing to pay solid money for a computer expert to help me with a project,contract,NYC,None,2025-04-15T20:59:37-0400,newyork,computer/technical support,
https://newjersey.craigslist.org/tch/d/pine-brook-entry-level-it-tech-position/7843108332.html,Entry Level IT Tech Position,"Job Description: We are currently seeking a motivated and knowledgeable Entry Level IT Tech. Our focus is supporting the Windows-based networks of small to medium sized businesses in all industries. We are an extremely customer service driven organization and need an individual who understands how to provide this high level service on a daily basis. The Engineer position includes performing remote network support from our office, some travel is required from time to time. The person chosen for this position will be exposed to a variety of local and wide area network technologies. We are looking for individuals with strong organizational skills who can work through tough situations and solve challenging problems on their own. Job candidates must be energetic and focused, with a strong desire to learn new technologies & management and maintenance processes.We will provide you with an environment that is fun and supportive. What we require from you in turn is the following:* Love dealing with people and have no problem explaining complex technical details in layman's terms* Can work on your own and be trusted to complete your tasks -- You should also be able to follow instructions when required.* Have no problem creating and updating detailed documentation and entering notes into our time management system.* Have the ability to see a problem or issue thru to completion, all while regularly communicating with the client.* Not afraid or too complacent to point out areas or processes that could use improvement, whether on a client's network or withinour own company.* Be a Team Player - everyone at our company works together and helps each other. We do not want employees that do not havethe best interest of the team at heart.* Number One: Keep the Client Happy!TECHNICAL REQUIREMENTS:- 6 months to 1 year experience working, training, or mentoring in the IT field, this would be an ideal position for someonestarting out.- Experience installing, updating, and troubleshooting Windows 7/8/10 operating systems, as well as desktop & laptophardware- Experience w/ network-based Antivirus solutions- The ability to troubleshoot & clean virus/spyware/adware/malware infections on individual computers & across anetwork- Experience supporting Windows 2003/2008/2012 Servers (both the operating systems & hardware)- Knowledge and Support of Exchange 2003/2007/2010/2013. (Candidates not required to know, but a plus)- Experiencing installing & supporting network-based printers & copiers- Experience installing, configuring and upgrading a wide range of network devices, such as switches, firewalls, & routers(HP, and Cisco experience is a plus)- A STRONG understanding of basic networking fundamentals, i.e. ""how the Internet works"", ""how network communicationworks"", ""how public DNS works"", etc., etc.- Experience supporting virtualization technologies, specifically VMWare-based products is a huge plus. (although experience w/Citrix & Microsoft-based virtualization technology is welcome)- Flexible part-time working schedule between 30-40 hours a week.- Possibility of working remotely from home after provisional period- Once a month on-call tech duties for emergencies services a MUST.- We will provide trainingCommunication skills: We seek an individual who loves working with people and is able to articulate technical problems into layman's terms for customers who are not technically adverse. Candidates must also demonstrate the ability to write clearly and effectively.Background verification: The Company performs a thorough investigation on candidates before extending an offer. In addition to checking professional references we also check criminal history, credit reports, driving records, and other public records that are relevant to our business.How to Apply:1) Respond to the email with the Subject Amazing IT Professional2) Please attach a resume in PDF format no longer than 2 pages.3) Please attach a cover letter, no longer then one page, should describe your career objectives as well as provide examples of leadership in your current position. You should also briefly state why you want to leave your current position. Resumes without a cover letter will not be reviewed.4) In the body of the email please state a short 1 to 2 sentence on why you want this position.We will contact you directly via e-mail only if we feel your experience and qualifications meet our needs. Please make sure that you provide a valid e-mail address. We are an equal opportunity employer.",TBD,full-time,Parsippany,KRS IT Consulting LLC,2025-04-17T12:22:52-0400,newyork,computer/technical support,
https://vermont.craigslist.org/tch/d/randolph-information-technology-intern/7847744259.html,Information Technology - INTERN - ENTRY LEVEL,"EXCELLENT OPPORTUNITY WITH GROWING COMPANY!Fun atmosphere, great coworkers, excellent opportunity for professional development and advancement.  Both Full Time and Part Time work available.This position provides vacation, holidays, health, dental, disability, life insurance and 401(k) plan with discretionary profit sharing.Medical Device Manufacturer seeks entry level personnel to become an integral part of our team! This position will be responsible for providing support to the Information Technology department, and manager.This position will require that the candidate learn about and assist with the following functions:Assist in all network setup and configuration to ensure operation needs are metEnsure licensing complianceSetup and train new employees on systemsMonitor systems and remote accessProvide daily system and user supportConfigure and install desktops, laptops and devices for new hiresPerform hardware replacements as necessaryInstall, configure, test, maintain, monitor and troubleshoot workstations and related hardware / softwareMaintain security and privacy of information systems, communication lines, and equipmentMaintain data backup and recoveryWorking knowledge of infrastructure, networking, firewalls, domainsExcellent written and verbal communications skillsMust be a focused self-starter and motivated to work with minimal supervisionAbility to thrive in a dynamic environmentIf you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact AADCO's main office for assistance.EQUAL EMPLOYMENT OPPORTUNITY POLICYIt is the policy of AADCO Medical, Inc. not to discriminate against any employee or applicant for employment because of race, color, religion, sex, national origin, age, marital status, genetic information, disability or because he or she is a protected veteran. It is also the policy of AADCO Medical, Inc. to take affirmative action to employ and to advance in employment, all persons regardless of race, color, religion, sex, national origin, age, marital status, genetic information, disability or protected veteran status, and to base all employment decisions only on valid job requirements. This policy shall apply to all employment actions, including but not limited to recruitment, hiring, upgrading, promotion, transfer, demotion, layoff, recall, termination, rates of pay or other forms of compensation and selection for training, including apprenticeship, at all levels of employment.Employees and applicants of AADCO Medical, Inc. will not be subject to harassment on the basis of race, color, religion, sex, national origin, age, marital status, genetic information, disability or because he or she is a protected veteran. Additionally, retaliation, including intimidation, threats, or coercion, because an employee or applicant has objected to discrimination, engaged or may engage in filing a complaint, assisted in a review, investigation, or hearing or have otherwise sought to obtain their legal rights under any Federal, State, or local EEO law is prohibited.http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdfApplicants to and employees of this company are protected under Federal law from discrimination on several bases. Follow the link above to find out more.",DoE,full-time,05060,,2025-05-05T10:21:49-0400,newyork,computer/technical support,
https://westernmass.craigslist.org/sci/d/northampton-part-time-archeological-work/7849001800.html,Part Time Archeological work,"Seeking Female or Male or Others for an Assistant in Private Archeological work. Degrees in the arts and sciences would be a plus / must. Applicants will need to be very fit and able. This is rugged work, wet and dirty but no digging, surface surveys only. A serious amount of experience outdoors is important and key to the work, otherwise it just will not go smoothly. We will also be doing some photography and cataloging also. Inquiries will be welcomed. This is rugged work, but fine-tuned sensibilities are key to it.We encourage women to apply.ThanksJ",healthy wage,part-time,Western Ma.,,2025-05-09T18:05:54-0400,newyork,science/biotech,
https://southjersey.craigslist.org/sci/d/paulsboro-laboratory-analyst-12hr/7842450685.html,"Laboratory Analyst - 12hr Rotational Day Shift (West Deptford, NJ)","IEH Laboratories, a Leader in Food Safety, is now accepting applications for a Laboratory Analyst - 12hr Rotational Day Shift position at its facility in West Deptford, NJ.Ideal candidates will possess the following:•     A BS or BA in the biological sciences or related field (required)•     Proficiency with data entry and computer applications•     Ability to multitask and work in a fast-paced environment•     Strong written and verbal communication skills•     Strong attention to detail•     Strong understanding of aseptic technique in the laboratoryLaboratory Analyst duties include: analysis of food samples for pathogens via PCR and immunoassay, various microbe enumerations, data entry, laboratory reporting, quality control, media preparation, and other duties as assigned.This is a full-time position and is eligible for standard benefits after a brief waiting period. The schedule for this position is on a rotating shift basis: the first week is Wednesday-Thursday, from 7:00am to 7:00pm; the second week is Monday, Tuesday, Friday, Saturday, and Sunday, from 7:00am to 7:00pm.Due to exposure to various food allergens in the laboratory environment, applicants with moderate-to-severe food allergies are discouraged from applying.To apply for this position please access the company's job posting at:https://apps.iehlabs.com/applyatieh.html#67fd4f125a77f6119863d60aAfter navigating to the URL listed above, you will be asked to complete optional self-identification surveys and submit your cover letter, resume and references in a combined, single PDF.Equal Opportunity Vets/Disability""Know Your Rights"" Poster:https://www.eeoc.gov/sites/default/files/2022-10/EEOC_KnowYourRights_screen_reader_10_20.pdf",$19.25 - $21.25 hourly,full-time,"Laboratory Analyst - 12hr Rotational Day Shift (West Deptford, NJ","Institute for Environmental Health, Inc.",2025-04-14T18:55:16-0400,newyork,science/biotech,
https://newjersey.craigslist.org/sci/d/hillside-summer-field-technician/7847097064.html,Summer Field Technician,"At Garden State Laboratories, Inc., we contribute to the protection of public health and safety. We have been a leader in environmental testing for more than 80 years. Our certified laboratories located in Union and Ocean counties are equipped for microbiology and chemistry testing of drinking water, private wells, recreational bathing water, wastewater, and solid/hazardous wastes for all of New Jersey.WHY JOIN US? At Garden State Laboratories, caring about the well-being of our employees sustainability and growth is what our family-owned business stands by. Garden State Laboratories, Inc. is a great place to work, employees join our team, and they stay. We are committed to providing an atmosphere of development and training for our employees. If you are interested in an environmental services career, this is a ground-floor entry-level role you should consider.ABOUT THE ROLEThe Summer schedule is from mid-May through Labor Day weekend and is primarily a weekend position, including holidays, with more work available throughout the week.Compensation is $100.00 per day; plus $0.58 per mile for vehicle expense reimbursement.WHAT YOU'LL DOThe primary responsibility of the Summer Field Technician is the collection of water samples from properties with pools, lakes, and beaches throughout New Jersey. Employees are trained in proper and compliant collection techniques as well as transport protocols to a certified laboratory.QUALIFICATIONSNo prior experience is required, but interested candidates must have a valid driver’s license and have access to a reliable vehicle for all scheduled days. Interest in a science-related career is a plus.Apply through our website here:https://workforcenow.cloud.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=82f9e885-7573-45b1-af47-3e3f7cf2551f&ccId=19000101_000001&lang=en_US&selectedMenuKey=CareerCenter&jobId=16961","$100.00 per day, plus $.58 per mile",part-time,Hillside NJ,"Garden State Laboratories, Inc.",2025-05-02T15:54:36-0400,newyork,science/biotech,
